user_id,grup,konversi,nilai_pesanan
A00000,kontrol,0,0.0
A00001,kontrol,0,0.0
A00002,kontrol,0,0.0
A00003,kontrol,0,0.0
A00004,kontrol,1,73100.0
A00005,kontrol,0,0.0
A00006,kontrol,0,0.0
A00007,kontrol,0,0.0
A00008,kontrol,0,0.0
A00009,kontrol,0,0.0
A00010,kontrol,0,0.0
A00011,kontrol,0,0.0
A00012,kontrol,0,0.0
A00013,kontrol,0,0.0
A00014,kontrol,0,0.0
A00015,kontrol,0,0.0
A00016,kontrol,0,0.0
A00017,kontrol,1,107200.0
A00018,kontrol,0,0.0
A00019,kontrol,0,0.0
A00020,kontrol,0,0.0
A00021,kontrol,0,0.0
A00022,kontrol,0,0.0
A00023,kontrol,0,0.0
A00024,kontrol,0,0.0
A00025,kontrol,0,0.0
A00026,kontrol,0,0.0
A00027,kontrol,1,90200.0
A00028,kontrol,0,0.0
A00029,kontrol,0,0.0
A00030,kontrol,0,0.0
A00031,kontrol,0,0.0
A00032,kontrol,0,0.0
A00033,kontrol,0,0.0
A00034,kontrol,0,0.0
A00035,kontrol,0,0.0
A00036,kontrol,0,0.0
A00037,kontrol,0,0.0
A00038,kontrol,0,0.0
A00039,kontrol,0,0.0
A00040,kontrol,0,0.0
A00041,kontrol,0,0.0
A00042,kontrol,0,0.0
A00043,kontrol,0,0.0
A00044,kontrol,0,0.0
A00045,kontrol,0,0.0
A00046,kontrol,0,0.0
A00047,kontrol,0,0.0
A00048,kontrol,0,0.0
A00049,kontrol,0,0.0
A00050,kontrol,0,0.0
A00051,kontrol,1,64300.0
A00052,kontrol,0,0.0
A00053,kontrol,0,0.0
A00054,kontrol,0,0.0
A00055,kontrol,0,0.0
A00056,kontrol,0,0.0
A00057,kontrol,0,0.0
A00058,kontrol,0,0.0
A00059,kontrol,0,0.0
A00060,kontrol,0,0.0
A00061,kontrol,0,0.0
A00062,kontrol,0,0.0
A00063,kontrol,0,0.0
A00064,kontrol,0,0.0
A00065,kontrol,0,0.0
A00066,kontrol,0,0.0
A00067,kontrol,0,0.0
A00068,kontrol,1,92800.0
A00069,kontrol,0,0.0
A00070,kontrol,0,0.0
A00071,kontrol,0,0.0
A00072,kontrol,0,0.0
A00073,kontrol,0,0.0
A00074,kontrol,1,76100.0
A00075,kontrol,0,0.0
A00076,kontrol,0,0.0
A00077,kontrol,0,0.0
A00078,kontrol,0,0.0
A00079,kontrol,0,0.0
A00080,kontrol,0,0.0
A00081,kontrol,0,0.0
A00082,kontrol,0,0.0
A00083,kontrol,0,0.0
A00084,kontrol,1,77400.0
A00085,kontrol,1,67700.0
A00086,kontrol,0,0.0
A00087,kontrol,0,0.0
A00088,kontrol,0,0.0
A00089,kontrol,0,0.0
A00090,kontrol,0,0.0
A00091,kontrol,0,0.0
A00092,kontrol,0,0.0
A00093,kontrol,0,0.0
A00094,kontrol,0,0.0
A00095,kontrol,0,0.0
A00096,kontrol,0,0.0
A00097,kontrol,1,77300.0
A00098,kontrol,0,0.0
A00099,kontrol,0,0.0
A00100,kontrol,0,0.0
A00101,kontrol,0,0.0
A00102,kontrol,0,0.0
A00103,kontrol,0,0.0
A00104,kontrol,0,0.0
A00105,kontrol,0,0.0
A00106,kontrol,0,0.0
A00107,kontrol,0,0.0
A00108,kontrol,1,122700.0
A00109,kontrol,0,0.0
A00110,kontrol,0,0.0
A00111,kontrol,0,0.0
A00112,kontrol,0,0.0
A00113,kontrol,0,0.0
A00114,kontrol,0,0.0
A00115,kontrol,0,0.0
A00116,kontrol,0,0.0
A00117,kontrol,0,0.0
A00118,kontrol,0,0.0
A00119,kontrol,0,0.0
A00120,kontrol,0,0.0
A00121,kontrol,0,0.0
A00122,kontrol,1,54400.0
A00123,kontrol,0,0.0
A00124,kontrol,1,99700.0
A00125,kontrol,0,0.0
A00126,kontrol,0,0.0
A00127,kontrol,0,0.0
A00128,kontrol,1,140000.0
A00129,kontrol,0,0.0
A00130,kontrol,0,0.0
A00131,kontrol,0,0.0
A00132,kontrol,0,0.0
A00133,kontrol,0,0.0
A00134,kontrol,0,0.0
A00135,kontrol,1,48900.0
A00136,kontrol,0,0.0
A00137,kontrol,0,0.0
A00138,kontrol,0,0.0
A00139,kontrol,1,70800.0
A00140,kontrol,0,0.0
A00141,kontrol,0,0.0
A00142,kontrol,0,0.0
A00143,kontrol,0,0.0
A00144,kontrol,0,0.0
A00145,kontrol,0,0.0
A00146,kontrol,0,0.0
A00147,kontrol,0,0.0
A00148,kontrol,0,0.0
A00149,kontrol,1,102800.0
A00150,kontrol,0,0.0
A00151,kontrol,0,0.0
A00152,kontrol,0,0.0
A00153,kontrol,0,0.0
A00154,kontrol,1,68700.0
A00155,kontrol,0,0.0
A00156,kontrol,0,0.0
A00157,kontrol,0,0.0
A00158,kontrol,0,0.0
A00159,kontrol,0,0.0
A00160,kontrol,1,82700.0
A00161,kontrol,0,0.0
A00162,kontrol,0,0.0
A00163,kontrol,1,81100.0
A00164,kontrol,0,0.0
A00165,kontrol,0,0.0
A00166,kontrol,0,0.0
A00167,kontrol,0,0.0
A00168,kontrol,0,0.0
A00169,kontrol,0,0.0
A00170,kontrol,0,0.0
A00171,kontrol,0,0.0
A00172,kontrol,0,0.0
A00173,kontrol,0,0.0
A00174,kontrol,0,0.0
A00175,kontrol,1,75700.0
A00176,kontrol,0,0.0
A00177,kontrol,0,0.0
A00178,kontrol,0,0.0
A00179,kontrol,0,0.0
A00180,kontrol,0,0.0
A00181,kontrol,0,0.0
A00182,kontrol,0,0.0
A00183,kontrol,0,0.0
A00184,kontrol,0,0.0
A00185,kontrol,0,0.0
A00186,kontrol,0,0.0
A00187,kontrol,1,40900.0
A00188,kontrol,0,0.0
A00189,kontrol,0,0.0
A00190,kontrol,0,0.0
A00191,kontrol,0,0.0
A00192,kontrol,0,0.0
A00193,kontrol,0,0.0
A00194,kontrol,0,0.0
A00195,kontrol,0,0.0
A00196,kontrol,0,0.0
A00197,kontrol,0,0.0
A00198,kontrol,0,0.0
A00199,kontrol,0,0.0
A00200,kontrol,0,0.0
A00201,kontrol,0,0.0
A00202,kontrol,0,0.0
A00203,kontrol,0,0.0
A00204,kontrol,1,68900.0
